asin,sku,category,launch_date,end_date,is_active,base_sales,base_price,lifecycle_months
B00000072,SKU-KIT-0072,kitchen,2025-03-03,,True,71,75.34,14
B00000073,SKU-ELE-0073,electronics,2025-03-17,,True,82,52.2,19
B00000074,SKU-KIT-0074,kitchen,2025-03-28,2025-09-24,False,97,34.87,6
B00000075,SKU-ELE-0075,electronics,2025-04-03,,True,54,40.65,23
B00000076,SKU-ELE-0076,electronics,2025-04-22,2025-12-18,False,133,19.58,8
B00000077,SKU-TOY-0077,toys,2025-04-18,,True,145,38.31,20
B00000078,SKU-TOY-0078,toys,2025-05-10,2025-12-06,False,76,70.16,7
B00000079,SKU-OUT-0079,outdoor,2025-05-09,,True,78,34.08,16
B00000080,SKU-KIT-0080,kitchen,2025-05-23,2026-01-18,False,84,71.36,8
B00000081,SKU-ELE-0081,electronics,2025-05-13,,True,86,55.81,12
B00000082,SKU-OUT-0082,outdoor,2025-05-20,2025-11-16,False,47,60.63,6
B00000083,SKU-HOM-0083,home_decor,2025-06-12,,True,192,39.41,24
B00000084,SKU-ELE-0084,electronics,2025-06-02,,True,54,25.08,24
B00000085,SKU-HOM-0085,home_decor,2025-06-22,,True,119,34.71,22
B00000086,SKU-OUT-0086,outdoor,2025-06-11,,True,47,65.05,10
B00000087,SKU-TOY-0087,toys,2025-06-12,,True,64,44.72,17
B00000088,SKU-OUT-0088,outdoor,2025-06-06,,True,155,41.74,18
B00000089,SKU-HOM-0089,home_decor,2025-06-03,,True,101,23.63,13
B00000090,SKU-ELE-0090,electronics,2025-06-18,,True,59,17.67,15
B00000091,SKU-KIT-0091,kitchen,2025-07-28,,True,96,69.34,10
B00000092,SKU-OUT-0092,outdoor,2025-07-09,,True,168,26.26,17
B00000093,SKU-ELE-0093,electronics,2025-07-01,,True,63,30.59,20
B00000094,SKU-TOY-0094,toys,2025-07-22,,True,148,57.91,21
B00000095,SKU-TOY-0095,toys,2025-07-21,2026-01-17,False,75,48.59,6
B00000096,SKU-TOY-0096,toys,2025-08-22,,True,135,51.79,8
B00000097,SKU-ELE-0097,electronics,2025-08-19,,True,115,15.94,10
B00000098,SKU-OUT-0098,outdoor,2025-08-14,,True,86,17.65,10
B00000099,SKU-ELE-0099,electronics,2025-08-14,,True,105,16.12,10
